Detected CSV format: v2.1 (with device arch and worker core count)
Using user-specified architecture: blackhole (CSV detected blackhole)
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'FULL_MODEL_REDUCED_DECODE'.
Using operations until 'FULL_MODEL_REDUCED_DECODE_END'.
Detected data from 4 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                                     Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 5206    0.2 %         UnaryDeviceOperation                                              2         4 μs          0 μs    110                                                 BF16, BF16 => BF16
 5210    0.3 %         FillPadDeviceOperation                                            2         7 μs          1 μs    110                                                       BF16 => BF16
 5212    0.1 %         SliceDeviceOperation                                              2         2 μs          0 μs     88                                                       BF16 => BF16
 5213    0.1 %         InterleavedToShardedDeviceOperation                               2         2 μs          0 μs     88                                                       BF16 => BF16
 5218    0.3 %         LayerNormDeviceOperation                                          2         6 μs          1 μs     22                                                 BF16, BF16 => BF16
 5220    0.1 %         ShardedToInterleavedDeviceOperation                               2         1 μs          1 μs     22                                                       BF16 => BF16
 5223    0.1 %         EmbeddingsDeviceOperation                                         2         1 μs          2 μs      1                                               UINT32, BF16 => BF16
 5224    0.8 %         TilizeWithValPaddingDeviceOperation                               2        20 μs          1 μs      1                                                       BF16 => BF16
 5231    0.1 %         ShardedToInterleavedDeviceOperation                               2         1 μs          1 μs      1                                                       BF16 => BF16
 5237    1.0 %         RotaryEmbeddingHfDeviceOperation                                  2        28 μs          1 μs      4                                                 BF16, BF16 => BF16
 5240    0.1 %         InterleavedToShardedDeviceOperation                               2         1 μs          1 μs      1                                                       BF16 => BF16
 5247    0.1 %         InterleavedToShardedDeviceOperation                               2         1 μs          1 μs      1                                                       BF16 => BF16
 5268    0.2 %         ShardedToInterleavedDeviceOperation                               2         3 μs          1 μs      1                                                       BF16 => BF16
 5271    0.1 %         ShardedToInterleavedDeviceOperation                               2         1 μs          1 μs     88                                                       BF16 => BF16
 5277    1.4 %   SLOW  MatmulDeviceOperation 32 x 2816 x 128                             2        38 μs          1 μs      4   47 GB/s   9.2 %   0.6 TFLOPs   10.9 %  HiFi4 FP32 x FP32 => FP32
 5281    0.1 %         SliceDeviceOperation                                              2         1 μs          2 μs      1                                                       BF16 => BF16
 5284    0.1 %         UnaryDeviceOperation                                              2         2 μs          1 μs    110                                                       BF16 => BF16
 5285    0.1 %         UntilizeWithUnpaddingDeviceOperation                              2         2 μs          1 μs      1                                                       BF16 => BF16
 5289    0.3 %         TilizeWithValPaddingDeviceOperation                               2         6 μs          1 μs      1                                                       BF16 => BF16
 5293    0.1 %         UntilizeWithUnpaddingDeviceOperation                              2         2 μs          1 μs      1                                                       BF16 => BF16
 5303    0.3 %         FillPadDeviceOperation                                            2         7 μs          1 μs    110                                                       BF16 => BF16
 5313    1.0 %         LayerNormDeviceOperation                                          2        27 μs          1 μs      1                                                 BF16, BF16 => BF16
