# traced-replay cross-device divergence probe, router_mode=fused_gate, ccl_mode=all_reduce, auto_stack_sum=stack_sum_async, rounds=150 replays=256 blocking=False sync_every_replay=False
# columns: layer kind replay_pattern round max_abs_diff_vs_device0 first_bad_device n_differing_devices
REPLAYDIV 0 linear_attention burst 143 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 144 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 145 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 146 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 147 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 148 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 149 0.000000e+00 - 0
REPLAYDIVMAX 0 linear_attention burst 0.000000e+00
REPLAYDIV 3 full_attention burst 0 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 1 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 2 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 3 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 4 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 5 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 6 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 7 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 8 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 9 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 10 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 11 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 12 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 13 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 14 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 15 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 16 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 17 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 18 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 19 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 20 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 21 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 22 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 23 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 24 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 25 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 26 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 27 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 28 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 29 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 30 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 31 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 32 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 33 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 34 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 35 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 36 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 37 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 38 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 39 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 40 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 41 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 42 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 43 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 44 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 45 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 46 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 47 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 48 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 49 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 50 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 51 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 52 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 53 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 54 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 55 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 56 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 57 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 58 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 59 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 60 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 61 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 62 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 63 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 64 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 65 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 66 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 67 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 68 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 69 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 70 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 71 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 72 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 73 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 74 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 75 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 76 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 77 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 78 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 79 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 80 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 81 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 82 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 83 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 84 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 85 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 86 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 87 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 88 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 89 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 90 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 91 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 92 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 93 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 94 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 95 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 96 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 97 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 98 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 99 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 100 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 101 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 102 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 103 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 104 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 105 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 106 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 107 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 108 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 109 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 110 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 111 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 112 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 113 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 114 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 115 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 116 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 117 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 118 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 119 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 120 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 121 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 122 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 123 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 124 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 125 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 126 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 127 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 128 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 129 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 130 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 131 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 132 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 133 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 134 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 135 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 136 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 137 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 138 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 139 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 140 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 141 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 142 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 143 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 144 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 145 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 146 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 147 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 148 0.000000e+00 - 0
REPLAYDIV 3 full_attention burst 149 0.000000e+00 - 0
REPLAYDIVMAX 3 full_attention burst 0.000000e+00
# traced-replay cross-device divergence probe, router_mode=fused_gate, ccl_mode=all_reduce, auto_stack_sum=stack_sum_async, rounds=150 replays=128 blocking=False sync_every_replay=True
# columns: layer kind replay_pattern round max_abs_diff_vs_device0 first_bad_device n_differing_devices
REPLAYDIV 0 linear_attention sync 0 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 1 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 2 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 3 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 4 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 5 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 6 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 7 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 8 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 9 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 10 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 11 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 12 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 13 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 14 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 15 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 16 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 17 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 18 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 19 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 20 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 21 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 22 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 23 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 24 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 25 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 26 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 27 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 28 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 29 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 30 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 31 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 32 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 33 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 34 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 35 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 36 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 37 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 38 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 39 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 40 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 41 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 42 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 43 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 44 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 45 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 46 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 47 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 48 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 49 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 50 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 51 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 52 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 53 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 54 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 55 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 56 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 57 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 58 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 59 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 60 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 61 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 62 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 63 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 64 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 65 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 66 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 67 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 68 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 69 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 70 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 71 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 72 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 73 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 74 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 75 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 76 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 77 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 78 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 79 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 80 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 81 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 82 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 83 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 84 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 85 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 86 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 87 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 88 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 89 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 90 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 91 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 92 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 93 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 94 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 95 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 96 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 97 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 98 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 99 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 100 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 101 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 102 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 103 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 104 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 105 0.000000e+00 - 0
REPLAYDIV 0 linear_attention sync 106 0.000000e+00 - 0
