Detected CSV format: v2.1 (with device arch and worker core count)
Using user-specified architecture: blackhole (CSV detected blackhole)
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'PERF_DECODE_layer0_sliding_attention_seq1024_batch1'.
Using operations until 'PERF_DECODE_layer0_sliding_attention_seq1024_batch1_END'.
Detected data from 4 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                                     Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 7338    0.0 %   SLOW  MatmulDeviceOperation 32 x 544 x 2816                             0         9 μs          1 μs      8  173 GB/s  33.7 %  11.0 TFLOPs   25.0 %   LoFi BF16 x BFP8 => BF16
 7341    0.0 %         AllReduceAsyncDeviceOperation                                     0        18 μs          1 μs     90                                                 BF16, BF16 => BF16
 7344    0.0 %         LayerNormDeviceOperation                                          0         6 μs          1 μs     22                                                 BF16, BF16 => BF16
 7360    0.0 %         TransposeDeviceOperation                                          0         6 μs          0 μs    110                                                       BF16 => BF16
 7368    0.0 %         TilizeWithValPaddingDeviceOperation                               0         6 μs          1 μs      1                                                       BF16 => BF16
 7370    0.0 %         BinaryNgDeviceOperation                                           0         5 μs          1 μs    110                                                 BF16, BF16 => BF16
 7371    0.0 %         ReduceDeviceOperation                                             0         3 μs          1 μs     88                                                       BF16 => BF16
 7373    0.0 %         AllReduceAsyncDeviceOperation                                     0        18 μs          1 μs     90                                                 BF16, BF16 => BF16
 7374    0.0 %         ShardedToInterleavedDeviceOperation                               0         2 μs          1 μs     88                                                       BF16 => BF16
 7376    0.0 %         LayerNormDeviceOperation                                          0         6 μs          1 μs     22                                                 BF16, BF16 => BF16
 7382    0.0 %         LayerNormDeviceOperation                                          3         6 μs          5 μs     22                                                 BF16, BF16 => BF16
 7387    0.0 %         ShardedToInterleavedDeviceOperation                               3         1 μs          1 μs      1                                                       BF16 => BF16
 7391    0.0 %         LayerNormDeviceOperation                                          3         5 μs          1 μs      1                                                       BF16 => BF16
 7392    0.0 %         InterleavedToShardedDeviceOperation                               3         1 μs          1 μs      1                                                       BF16 => BF16
 7393    0.0 %         InterleavedToShardedDeviceOperation                               3         1 μs          1 μs      1                                                       BF16 => BF16
 7404    0.0 %         ShardedToInterleavedDeviceOperation                               3         1 μs          1 μs      4                                                       BF16 => BF16
 7405    0.0 %         InterleavedToShardedDeviceOperation                               3         2 μs          1 μs      8                                                       BF16 => BF16
 7406    0.0 %   FLOP  MatmulDeviceOperation 32 x 1024 x 2816                            3        25 μs          1 μs      8  230 GB/s  45.0 %   7.4 TFLOPs   66.6 %  HiFi4 BF16 x BF16 => BF16
 7407    0.0 %         ShardedToInterleavedDeviceOperation                               3         2 μs          1 μs      8                                                       BF16 => BF16
 7408    0.0 %         InterleavedToShardedDeviceOperation                               3         2 μs          1 μs     88                                                       BF16 => BF16
 7410    0.0 %         ShardedToInterleavedDeviceOperation                               3         2 μs          1 μs     88                                                       BF16 => BF16
 7415    0.0 %         LayerNormDeviceOperation                                          3         6 μs          1 μs     22                                                       BF16 => BF16
 7420    0.0 %         SliceDeviceOperation                                              3         2 μs          1 μs     17                                                       BF16 => BF16
 7422    0.0 %         BinaryNgDeviceOperation                                           3         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 7425    0.0 %         ShardedToInterleavedDeviceOperation                               3         3 μs          1 μs      1                                                       BF16 => BF16
 7431    0.0 %         ShardedToInterleavedDeviceOperation                               3         1 μs          1 μs     22                                                       BF16 => BF16
 7432    0.0 %         TypecastDeviceOperation                                           3         2 μs          1 μs     88                                                       BF16 => FP32
 7433    0.0 %   SLOW  MatmulDeviceOperation 32 x 2816 x 128                             3        38 μs          1 μs      4   48 GB/s   9.4 %   0.6 TFLOPs   11.1 %  HiFi4 FP32 x FP32 => FP32
 7435    0.0 %         FillPadDeviceOperation                                            3         5 μs          1 μs      4                                                       BF16 => BF16
 7439    0.0 %         SoftmaxDeviceOperation                                            3         5 μs          1 μs      1                                                       BF16 => BF16
 7440    0.0 %         UntilizeWithUnpaddingDeviceOperation                              3         1 μs          1 μs      1                                                   UINT16 => UINT16
 7443    0.0 %         ShardedToInterleavedDeviceOperation                               3         2 μs          1 μs     22                                                       BF16 => BF16
 7444    0.0 %         UnaryDeviceOperation                                              3         7 μs          1 μs    110                                                 BF16, BF16 => BF16
 7452    0.0 %   SLOW  SparseMatmulDeviceOperation active=8/128 x 32 x 192 x 2816        3        18 μs          0 μs     44  239 GB/s  46.7 %  15.3 TFLOPs    6.3 %   LoFi BF16 x BFP8 => BF16
 7455    0.0 %         ReshapeViewDeviceOperation                                        3         4 μs          1 μs      4                                                       BF16 => BF16
 7463    0.0 %         BinaryNgDeviceOperation                                           3         1 μs          1 μs    110                                                 BF16, BF16 => BF16
 7464    0.0 %         LayerNormDeviceOperation                                          3         6 μs          1 μs     22                                                 BF16, BF16 => BF16
 7466    0.0 %         ShardedToInterleavedDeviceOperation                               3         1 μs          1 μs     22                                                       BF16 => BF16
 7474    0.0 %         ShardedToInterleavedDeviceOperation                               2         1 μs          1 μs      1                                                       BF16 => BF16
 7489    0.0 %         NLPConcatHeadsDecodeDeviceOperation                               2         1 μs          1 μs      4                                                       BF16 => BF16
 7490    0.0 %         ShardedToInterleavedDeviceOperation                               2         2 μs          1 μs      4                                                       BF16 => BF16
 7491    0.0 %         InterleavedToShardedDeviceOperation                               2         2 μs          1 μs      8                                                       BF16 => BF16
 7497    0.0 %         SliceDeviceOperation                                              2         2 μs          1 μs     88                                                       BF16 => BF16
 7501    0.0 %         LayerNormDeviceOperation                                          2         6 μs          1 μs     22                                                       BF16 => BF16
 7502    0.0 %         ShardedToInterleavedDeviceOperation                               2         1 μs          1 μs     22                                                       BF16 => BF16
