Detected CSV format: v2.1 (with device arch and worker core count)
Using user-specified architecture: blackhole (CSV detected blackhole)
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'PERF_DECODE_layer5_full_attention_seq1024_batch1'.
Using operations until 'PERF_DECODE_layer5_full_attention_seq1024_batch1_END'.
Detected data from 2 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                                     Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 3334    0.0 %         InterleavedToShardedDeviceOperation                               0         1 μs          1 μs      1                                                       BF16 => BF16
 3337    0.0 %         InterleavedToShardedDeviceOperation                               0         1 μs          1 μs      8                                                       BF16 => BF16
 3340    0.0 %         InterleavedToShardedDeviceOperation                               0         1 μs          1 μs     88                                                       BF16 => BF16
 3341    0.1 %         AllReduceAsyncDeviceOperation                                     0        30 μs          1 μs     89                                                 BF16, BF16 => BF16
 3342    0.0 %         CopyDeviceOperation                                               0         2 μs          1 μs     88                                                       BF16 => BF16
 3343    0.0 %         SliceDeviceOperation                                              0         2 μs          1 μs     88                                                       BF16 => BF16
 3344    0.0 %         LayerNormDeviceOperation                                          0         6 μs          1 μs     22                                                 BF16, BF16 => BF16
 3346    0.0 %         LayerNormDeviceOperation                                          0         6 μs          1 μs     22                                                       BF16 => BF16
 3347    0.0 %   SLOW  MatmulDeviceOperation 32 x 2816 x 1056                            0        21 μs          1 μs     22  286 GB/s  55.9 %   9.2 TFLOPs    7.5 %   LoFi BF16 x BF16 => BF16
 3348    0.0 %   SLOW  MatmulDeviceOperation 32 x 2816 x 1056                            0        20 μs          1 μs     22  291 GB/s  56.9 %   9.3 TFLOPs    7.7 %   LoFi BF16 x BF16 => BF16
 3349    0.0 %         BinaryNgDeviceOperation                                           0         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 3350    0.0 %   DRAM  MatmulDeviceOperation 32 x 1056 x 2816                            0        17 μs          1 μs     22  351 GB/s  68.5 %  11.2 TFLOPs    9.2 %   LoFi BF16 x BF16 => BF16
 3352    0.1 %         AllReduceAsyncDeviceOperation                                     0        31 μs          1 μs     89                                                 BF16, BF16 => BF16
 3353    0.0 %         CopyDeviceOperation                                               0         2 μs          1 μs     88                                                       BF16 => BF16
 3357    0.1 %   SLOW  MatmulDeviceOperation 32 x 2816 x 128                             0        38 μs          1 μs      4   48 GB/s   9.4 %   0.6 TFLOPs   11.1 %  HiFi4 FP32 x FP32 => FP32
 3360    0.0 %         TopKDeviceOperation                                               0        22 μs          2 μs      1                                                       BF16 => BF16
 3361    0.0 %         SliceDeviceOperation                                              0         1 μs          1 μs      1                                                       BF16 => BF16
 3366    0.0 %         ScatterDeviceOperation                                            0         3 μs          2 μs      1                                               BF16, UINT16 => BF16
 3367    0.0 %         UntilizeWithUnpaddingDeviceOperation                              0         1 μs          1 μs      1                                                   UINT16 => UINT16
 3370    0.1 %   SLOW  SparseMatmulDeviceOperation active=8/128 x 32 x 2816 x 704        0        57 μs          1 μs     22  280 GB/s  54.6 %  17.9 TFLOPs   14.7 %   LoFi BF16 x BFP8 => BF16
 3371    0.0 %         SliceDeviceOperation                                              0         2 μs          1 μs     88                                                       BF16 => BF16
 3375    0.0 %   SLOW  SparseMatmulDeviceOperation active=8/128 x 32 x 352 x 2816        0        27 μs          1 μs     44  298 GB/s  58.1 %  19.0 TFLOPs    7.8 %   LoFi BF16 x BFP8 => BF16
 3377    0.0 %         BinaryNgDeviceOperation                                           0         7 μs          1 μs    110                                                 BF16, BF16 => BF16
 3379    0.0 %         FastReduceNCDeviceOperation                                       0         3 μs          1 μs     88                                                       BF16 => BF16
 3380    0.0 %         SliceDeviceOperation                                              0         2 μs          0 μs     88                                                       BF16 => BF16
 3382    0.1 %         AllReduceAsyncDeviceOperation                                     0        32 μs          1 μs     89                                                 BF16, BF16 => BF16
 3383    0.0 %         CopyDeviceOperation                                               0         2 μs          1 μs     88                                                       BF16 => BF16
 3385    0.0 %         BinaryNgDeviceOperation                                           0         1 μs          1 μs    110                                                 BF16, BF16 => BF16
 3386    0.0 %         LayerNormDeviceOperation                                          0         6 μs          1 μs     22                                                 BF16, BF16 => BF16
 3387    0.0 %         BinaryNgDeviceOperation                                           0         2 μs          1 μs    110                                                 BF16, BF16 => BF16
 3389   48.1 %         InterleavedToShardedDeviceOperation                               1         1 μs     28,689 μs     22                                                       BF16 => BF16
 3393    0.0 %         NLPCreateQKVHeadsDecodeDeviceOperation                            1        15 μs          1 μs      1                                                       BF16 => BF16
 3396    0.0 %         ShardedToInterleavedDeviceOperation                               1         1 μs          1 μs      1                                                       BF16 => BF16
 3397    0.0 %         LayerNormDeviceOperation                                          1         8 μs          1 μs      1                                                 BF16, BF16 => BF16
 3398    0.0 %         LayerNormDeviceOperation                                          1         8 μs          1 μs      1                                                 BF16, BF16 => BF16
 3401    0.0 %         TransposeDeviceOperation                                          1         2 μs          1 μs     16                                                       BF16 => BF16
 3404    0.0 %         TransposeDeviceOperation                                          1         3 μs          1 μs    110                                                       BF16 => BF16
 3405    0.0 %         InterleavedToShardedDeviceOperation                               1         1 μs          1 μs      1                                                       BF16 => BF16
 3406    0.0 %         TransposeDeviceOperation                                          1         2 μs          1 μs     16                                                       BF16 => BF16
 3408    0.0 %         InterleavedToShardedDeviceOperation                               1         1 μs          1 μs      1                                                       BF16 => BF16
 3413    0.0 %         NLPConcatHeadsDecodeDeviceOperation                               1         2 μs          1 μs      8                                                       BF16 => BF16
 3414    0.0 %         ShardedToInterleavedDeviceOperation                               1         1 μs          1 μs      8                                                       BF16 => BF16
 3417    0.0 %         ShardedToInterleavedDeviceOperation                               1         2 μs          1 μs      8                                                       BF16 => BF16
 3421    0.0 %         SliceDeviceOperation                                              1         2 μs          1 μs     88                                                       BF16 => BF16
 3422    0.0 %         LayerNormDeviceOperation                                          1         6 μs          0 μs     22                                                 BF16, BF16 => BF16
 3424    0.0 %         LayerNormDeviceOperation                                          1         6 μs          1 μs     22                                                       BF16 => BF16
 3425    0.0 %   SLOW  MatmulDeviceOperation 32 x 2816 x 1056                            1        21 μs          1 μs     22  281 GB/s  54.8 %   9.0 TFLOPs    7.4 %   LoFi BF16 x BF16 => BF16
 3426    0.0 %   SLOW  MatmulDeviceOperation 32 x 2816 x 1056                            1        21 μs          0 μs     22  281 GB/s  54.9 %   9.0 TFLOPs    7.4 %   LoFi BF16 x BF16 => BF16
 3429    0.0 %         CopyDeviceOperation                                               1         2 μs          1 μs     88                                                       BF16 => BF16
 3432    0.0 %         LayerNormDeviceOperation                                          1         6 μs          1 μs     22                                                 BF16, BF16 => BF16
 3433    0.0 %         ShardedToInterleavedDeviceOperation                               1         1 μs          1 μs     22                                                       BF16 => BF16
 3434    0.0 %         TypecastDeviceOperation                                           1         2 μs          1 μs     88                                                       BF16 => FP32
 3436    0.0 %         TypecastDeviceOperation                                           1         2 μs          1 μs      4                                                       FP32 => BF16
 3439    0.0 %         SliceDeviceOperation                                              1         1 μs          1 μs      1                                                       BF16 => BF16
 3440    0.0 %         SliceDeviceOperation                                              1         1 μs          1 μs      1                                                   UINT16 => UINT16
 3441    0.0 %         SoftmaxDeviceOperation                                            1         5 μs          1 μs      1                                                       BF16 => BF16
 3443    0.0 %         UntilizeWithUnpaddingDeviceOperation                              1         1 μs          1 μs      1                                                       BF16 => BF16
 3446    0.0 %         ShardedToInterleavedDeviceOperation                               1         2 μs          1 μs     22                                                       BF16 => BF16
 3447    0.0 %         UnaryDeviceOperation                                              1         2 μs          1 μs    110                                                 BF16, BF16 => BF16
 3451    0.0 %         BinaryNgDeviceOperation                                           1         5 μs          1 μs    110                                                 BF16, BF16 => BF16
 3452    0.0 %         UnaryDeviceOperation                                              1         4 μs          1 μs    110                                                 BF16, BF16 => BF16
 3454    0.0 %         PermuteDeviceOperation                                            1         4 μs          1 μs      8                                                       BF16 => BF16
 3456    0.0 %         FillPadDeviceOperation                                            1         7 μs          1 μs    110                                                       BF16 => BF16
 3457    0.0 %         FastReduceNCDeviceOperation                                       1         3 μs          1 μs     88                                                       BF16 => BF16
 3458    0.0 %         SliceDeviceOperation                                              1         2 μs          1 μs     88                                                       BF16 => BF16
 3459    0.0 %         InterleavedToShardedDeviceOperation                               1         1 μs          0 μs     88                                                       BF16 => BF16
 3462    0.0 %         LayerNormDeviceOperation                                          1         6 μs          1 μs     22                                                 BF16, BF16 => BF16
 3463    0.0 %         BinaryNgDeviceOperation                                           1         1 μs          1 μs    110                                                 BF16, BF16 => BF16
 3465    0.0 %         BinaryNgDeviceOperation                                           1         2 μs          1 μs    110                                                 BF16, BF16 => BF16
 3466    0.0 %         ShardedToInterleavedDeviceOperation                               1         1 μs          1 μs     22                                                       BF16 => BF16
 3467   48.1 %         InterleavedToShardedDeviceOperation                               0         1 μs     28,684 μs     22                                                       BF16 => BF16
 3468    0.0 %         LayerNormDeviceOperation                                          0         6 μs          5 μs     22                                                 BF16, BF16 => BF16
 3472    0.0 %         ShardedToInterleavedDeviceOperation                               0         1 μs          1 μs      1                                                       BF16 => BF16
 3473    0.0 %         ShardedToInterleavedDeviceOperation                               0         1 μs          1 μs      1                                                       BF16 => BF16
 3476    0.0 %         LayerNormDeviceOperation                                          0         8 μs          1 μs      1                                                 BF16, BF16 => BF16
 3478    0.0 %         TransposeDeviceOperation                                          0         3 μs          1 μs    110                                                       BF16 => BF16
 3480    0.0 %         RotaryEmbeddingHfDeviceOperation                                  0        28 μs          1 μs      8                                                 BF16, BF16 => BF16
 3481    0.0 %         RotaryEmbeddingHfDeviceOperation                                  0        27 μs          1 μs      1                                                 BF16, BF16 => BF16
 3483    0.0 %         InterleavedToShardedDeviceOperation                               0         1 μs          1 μs      1                                                       BF16 => BF16
 3485    0.0 %         InterleavedToShardedDeviceOperation                               0         1 μs          1 μs      1                                                       BF16 => BF16
 3486    0.0 %         InterleavedToShardedDeviceOperation                               0         1 μs          1 μs      1                                                       BF16 => BF16
 3487    0.0 %         PagedUpdateCacheDeviceOperation                                   0         4 μs          1 μs      1                                                 BF16, BF16 => BF16
 3489    0.1 %         SdpaDecodeDeviceOperation                                         0        41 μs          2 μs     32                                                 BF16, BF16 => BF16
 3493    0.0 %         InterleavedToShardedDeviceOperation                               0         1 μs          1 μs      8                                                       BF16 => BF16
 3497    0.1 %         AllReduceAsyncDeviceOperation                                     0        30 μs          1 μs     89                                                 BF16, BF16 => BF16
 3498    0.0 %         CopyDeviceOperation                                               0         2 μs          1 μs     88                                                       BF16 => BF16
 3500    0.0 %         LayerNormDeviceOperation                                          0         6 μs          1 μs     22                                                 BF16, BF16 => BF16
 3501    0.0 %         BinaryNgDeviceOperation                                           0         1 μs          1 μs    110                                                 BF16, BF16 => BF16
