# DENSE decode program-config sweep, per-device TP=4 shapes. grid 11x10
# columns: role M K N family cores in0_block_w per_core_N us spread
# --- attn_in M=32 K=2048 N=2560 weight=bfloat8_b fidelity=HiFi2 single_chip=(2048, 9216)
DENSE gdn_out 32 1024 2048 mcast1d 33 8 2 9.27 0.21
DENSE gdn_out 32 1024 2048 mcast1d 33 16 2 9.41 0.11
DENSE gdn_out 32 1024 2048 mcast1d 33 32 2 9.64 0.02
DENSE gdn_out 32 1024 2048 mcast1d 33 1 2 30.10 0.15
DENSE gdn_out 32 1024 2048 mcast1d 33 2 2 17.55 0.02
DENSE gdn_out 32 1024 2048 mcast1d 33 4 2 11.32 0.06
DENSE gdn_out 32 1024 2048 mcast1d 33 8 2 9.37 0.24
DENSE gdn_out 32 1024 2048 mcast1d 33 16 2 9.39 0.41
DENSE gdn_out 32 1024 2048 mcast1d 33 32 2 9.64 0.06
DENSE gdn_out 32 1024 2048 mcast1d 55 1 2 30.12 0.13
DENSE gdn_out 32 1024 2048 mcast1d 55 2 2 17.56 0.05
DENSE gdn_out 32 1024 2048 mcast1d 55 4 2 11.31 0.07
DENSE gdn_out 32 1024 2048 mcast1d 55 8 2 9.43 0.21
DENSE gdn_out 32 1024 2048 mcast1d 55 16 2 9.27 0.17
DENSE gdn_out 32 1024 2048 mcast1d 55 32 2 9.63 0.10
DENSE gdn_out 32 1024 2048 mcast1d 66 1 1 37.50 0.15
DENSE gdn_out 32 1024 2048 mcast1d 66 2 1 20.73 0.05
DENSE gdn_out 32 1024 2048 mcast1d 66 4 1 12.70 0.07
DENSE gdn_out 32 1024 2048 mcast1d 66 8 1 10.00 0.26
DENSE gdn_out 32 1024 2048 mcast1d 66 16 1 10.57 0.12
DENSE gdn_out 32 1024 2048 mcast1d 66 32 1 11.19 0.06
DENSE gdn_out 32 1024 2048 mcast1d 88 1 1 37.46 0.15
DENSE gdn_out 32 1024 2048 mcast1d 88 2 1 20.73 0.11
DENSE gdn_out 32 1024 2048 mcast1d 88 4 1 12.73 0.00
DENSE gdn_out 32 1024 2048 mcast1d 88 8 1 9.94 0.29
DENSE gdn_out 32 1024 2048 mcast1d 88 16 1 10.53 0.04
