# CCL sweep, 4 devices, FABRIC_1D_RING, num_links=2, max_payload=8192 B
# columns: shape arm mode us correct_pcc
CCLFAB line rows512 rs_ag_ring eager 126.32 0.999998
CCLFAB line rows512 rs_ag_ring trace 88.65 0.999998
CCLFAB line rows512 rs_only_ring eager 79.89 0.999998
CCLFAB line rows512 rs_only_ring trace 37.07 0.999998
CCLFAB line rows512 all_reduce_linear eager 140.24 0.999997
CCLFAB line rows512 all_reduce_linear trace 109.44 0.999997
CCLFAB line rows512 rs_ag_linear eager 130.38 0.999997
CCLFAB line rows512 rs_ag_linear trace 109.49 0.999997
CCLFAB line rows512 rs_only_linear eager 76.25 0.999997
CCLFAB line rows512 rs_only_linear trace 58.95 0.999997
CCLFAB line rows512 ag_stack_sum eager 153.03 0.999998
CCLFAB line rows512 ag_stack_sum trace 152.36 0.999998
CCLFAB line rows512 all_reduce_async eager 134.28 0.999997
CCLFAB line rows512 all_reduce_async trace 103.37 0.999997
CCLFAB line rows512 all_reduce_async_l1 eager 159.11 0.999997
CCLFAB line rows512 all_reduce_async_l1 trace 102.23 0.999997
CCLFAB line decode_b32 all_reduce_ring eager 160.35 0.999998
CCLFAB line decode_b32 all_reduce_ring trace 159.25 0.999998
CCLFAB line decode_b32 rs_ag_ring eager 163.28 0.999998
CCLFAB line decode_b32 rs_ag_ring trace 159.59 0.999998
CCLFAB line decode_b32 rs_only_ring eager 81.78 0.999998
CCLFAB line decode_b32 rs_only_ring trace 63.01 0.999998
CCLFAB line decode_b32 all_reduce_linear eager 194.21 0.999997
CCLFAB line decode_b32 all_reduce_linear trace 191.37 0.999997
CCLFAB line decode_b32 rs_ag_linear eager 194.81 0.999997
CCLFAB line decode_b32 rs_ag_linear trace 192.29 0.999997
CCLFAB line decode_b32 rs_only_linear eager 100.71 0.999997
CCLFAB line decode_b32 rs_only_linear trace 99.37 0.999997
CCLFAB line decode_b32 ag_stack_sum eager 288.08 0.999998
CCLFAB line decode_b32 ag_stack_sum trace 287.32 0.999998
CCLFAB line decode_b32 all_reduce_async eager 180.60 0.999997
CCLFAB line decode_b32 all_reduce_async trace 178.70 0.999997
CCLFAB line decode_b32 all_reduce_async_l1 eager 176.01 0.999997
CCLFAB line decode_b32 all_reduce_async_l1 trace 173.86 0.999997
CCLFAB line prefill_2048 all_reduce_ring eager 222.11 0.999998
CCLFAB line prefill_2048 all_reduce_ring trace 221.06 0.999998
CCLFAB line prefill_2048 rs_ag_ring eager 223.96 0.999998
CCLFAB line prefill_2048 rs_ag_ring trace 220.99 0.999998
CCLFAB line prefill_2048 rs_only_ring eager 110.79 0.999998
CCLFAB line prefill_2048 rs_only_ring trace 101.26 0.999998
CCLFAB line prefill_2048 all_reduce_linear eager 300.97 0.999997
CCLFAB line prefill_2048 all_reduce_linear trace 298.13 0.999997
CCLFAB line prefill_2048 rs_ag_linear eager 298.02 0.999997
CCLFAB line prefill_2048 rs_ag_linear trace 298.44 0.999997
CCLFAB line prefill_2048 rs_only_linear eager 181.18 0.999997
CCLFAB line prefill_2048 rs_only_linear trace 179.20 0.999997
CCLFAB line prefill_2048 ag_stack_sum eager 557.97 0.999998
CCLFAB line prefill_2048 ag_stack_sum trace 555.47 0.999998
CCLFAB line prefill_2048 all_reduce_async eager 330.37 0.999997
CCLFAB line prefill_2048 all_reduce_async trace 327.80 0.999997
CCLFAB line prefill_2048 all_reduce_async_l1 eager 317.71 0.999997
CCLFAB line prefill_2048 all_reduce_async_l1 trace 316.80 0.999997
# CCL sweep, 4 devices, FABRIC_1D_RING, num_links=2, max_payload=4352 B
# columns: packet_bytes shape arm mode us correct_pcc
CCLPKT 4352 decode all_reduce_ring eager 127.38 0.999998
CCLPKT 4352 decode all_reduce_ring trace 22.08 0.999998
CCLPKT 4352 decode rs_ag_ring eager 121.07 0.999998
CCLPKT 4352 decode rs_ag_ring trace 22.10 0.999998
CCLPKT 4352 decode rs_only_ring eager 59.95 0.999998
CCLPKT 4352 decode rs_only_ring trace 14.36 0.999998
CCLPKT 4352 decode all_reduce_linear eager 123.54 0.999997
CCLPKT 4352 decode all_reduce_linear trace 26.97 0.999997
CCLPKT 4352 decode rs_ag_linear eager 126.54 0.999997
CCLPKT 4352 decode rs_ag_linear trace 26.97 0.999997
CCLPKT 4352 decode rs_only_linear eager 63.02 0.999997
CCLPKT 4352 decode rs_only_linear trace 17.79 0.999997
CCLPKT 4352 decode ag_stack_sum eager 59.33 0.999998
CCLPKT 4352 decode ag_stack_sum trace 17.17 0.999998
CCLPKT 4352 decode all_reduce_async eager 120.50 0.999997
CCLPKT 4352 decode all_reduce_async trace 33.44 0.999997
CCLPKT 4352 decode all_reduce_async_l1 eager 133.60 0.999997
CCLPKT 4352 decode all_reduce_async_l1 trace 33.04 0.999997
CCLPKT 4352 rows64 all_reduce_ring eager 122.01 0.999998
CCLPKT 4352 rows64 all_reduce_ring trace 26.96 0.999998
CCLPKT 4352 rows64 rs_ag_ring eager 121.38 0.999998
CCLPKT 4352 rows64 rs_ag_ring trace 26.96 0.999998
CCLPKT 4352 rows64 rs_only_ring eager 67.24 0.999998
CCLPKT 4352 rows64 rs_only_ring trace 16.98 0.999998
CCLPKT 4352 rows64 all_reduce_linear eager 133.31 0.999997
CCLPKT 4352 rows64 all_reduce_linear trace 31.71 0.999997
CCLPKT 4352 rows64 rs_ag_linear eager 167.38 0.999997
CCLPKT 4352 rows64 rs_ag_linear trace 31.70 0.999997
CCLPKT 4352 rows64 rs_only_linear eager 96.97 0.999997
CCLPKT 4352 rows64 rs_only_linear trace 21.00 0.999997
CCLPKT 4352 rows64 ag_stack_sum eager 78.16 0.999998
CCLPKT 4352 rows64 ag_stack_sum trace 26.42 0.999998
CCLPKT 4352 rows64 all_reduce_async eager 159.28 0.999997
CCLPKT 4352 rows64 all_reduce_async trace 40.17 0.999997
CCLPKT 4352 rows64 all_reduce_async_l1 eager 137.76 0.999997
CCLPKT 4352 rows64 all_reduce_async_l1 trace 39.44 0.999997
CCLPKT 4352 rows96 all_reduce_ring eager 165.63 0.999998
CCLPKT 4352 rows96 all_reduce_ring trace 29.18 0.999998
CCLPKT 4352 rows96 rs_ag_ring eager 156.07 0.999998
CCLPKT 4352 rows96 rs_ag_ring trace 29.12 0.999998
CCLPKT 4352 rows96 rs_only_ring eager 65.59 0.999998
CCLPKT 4352 rows96 rs_only_ring trace 17.18 0.999998
CCLPKT 4352 rows96 all_reduce_linear eager 118.07 0.999997
CCLPKT 4352 rows96 all_reduce_linear trace 35.68 0.999997
CCLPKT 4352 rows96 rs_ag_linear eager 128.19 0.999997
CCLPKT 4352 rows96 rs_ag_linear trace 35.68 0.999997
CCLPKT 4352 rows96 rs_only_linear eager 84.54 0.999997
CCLPKT 4352 rows96 rs_only_linear trace 23.54 0.999997
CCLPKT 4352 rows96 ag_stack_sum eager 96.49 0.999998
CCLPKT 4352 rows96 ag_stack_sum trace 35.49 0.999998
CCLPKT 4352 rows96 all_reduce_async eager 133.21 0.999997
CCLPKT 4352 rows96 all_reduce_async trace 45.41 0.999997
CCLPKT 4352 rows96 all_reduce_async_l1 eager 118.83 0.999997
